Full Auction title,"Is it ""no reserve""",Year,Make,Model Family,Model identifier,Era,Origin,Category,Number of comments,Seller,Private party or dealer,Ext. Color Group,Int. Color Group,Buyer,Odometer,Miles of kilometers,Location,Chassis/VIN,Status,Value,Auction end day,Auction end month,Auction end day number,Auction end time,Auction end year,Number of bids,Auction URL,Number of views,Watchers
44k-Mile 2006 Honda S2000,Y,2006,Honda,Honda S2000,ap2,2000s,Japanese,Convertibles,32,Wesley1029 https://bringatrailer.com/member/wesley1029/,Private Party,,Red,xfwy https://bringatrailer.com/member/xfwy/,44k,Miles,"Findlay, Ohio 45840",JHMAP21446S004934,Sold,"$33,250",Saturday,June,10,8:03pm,2023,44,https://bringatrailer.com/listing/2006-honda-s2000-106/,"9,464","1,021"
1986 Porsche 911 Carrera Cabriolet,N,1986,Porsche,Porsche 911 Carrera 3.2,"911, impact bumper, impact-bumper",1980s,German,Convertibles,30,treydye https://bringatrailer.com/member/treydye/,Private Party,Blue,Blue,,78k,Miles,"Atlanta, Georgia 30306",WP0EB0919GS170545,Not Sold,"$33,000",Saturday,June,10,7:27pm,2023,31,https://bringatrailer.com/listing/1986-porsche-911-carrera-cabriolet-62/,"11,191","1,171"
2004 Chevrolet SSR,N,2004,Chevrolet,Chevrolet SSR,,2000s,American,Located in Canada,23,shantzy https://bringatrailer.com/member/shantzy/,Private Party,,Silver,,27k,Kilometers,"Spruce Grove, Alberta, Canada",1GCES14PX4B104521,Not Sold,"$16,800",Friday,June,9,11:51pm,2023,41,https://bringatrailer.com/listing/2004-chevrolet-ssr-59/,"3,263",294
MG MGB Roadster,N,,MG,MG MGB,"mg, mg b",1960s,British,Convertibles,38,t120rider https://bringatrailer.com/member/t120rider/,Private Party,,,Billium0160ga https://bringatrailer.com/member/billium0160ga/,68k,Miles,"Bellingham, Washington 98229",GHD3L110726,Sold,"$12,300",Friday,June,9,11:44pm,2023,4,https://bringatrailer.com/listing/1967-mg-mgb-48/,"8,238",720
1965 Jaguar XKE Series I 4.2 Roadster,N,1965,Jaguar,Jaguar XKE Series I,"e type, e-type",1960s,British,Convertibles,61,WJLaJolla https://bringatrailer.com/member/wjlajolla/,Dealer,Blue,Blue,fav1965 https://bringatrailer.com/member/fav1965/,95k,Miles,"La Jolla, California 92037",10309,Sold,"$120,000",Friday,June,9,11:32pm,2023,50,https://bringatrailer.com/listing/1965-jaguar-xke-roadster-31/,"17,432","1,585"
"4,900-Mile 2002 Ford Thunderbird",Y,2002,Ford,Ford Thunderbird (2002-2005),,2000s,American,Convertibles,20,Collectibleclassics https://bringatrailer.com/member/collectibleclassics/,Dealer,Black,,kevin1974 https://bringatrailer.com/member/kevin1974/,"4,900",Miles,"Yellow House, Pennsylvania 19518",1FAHP60A12Y106638,Sold,"$22,500",Friday,June,9,11:26pm,2023,24,https://bringatrailer.com/listing/2002-ford-thunderbird-180/,"2,534",373
34k-Mile 2004 Jaguar XKR Convertible,Y,2004,Jaguar,Jaguar XKR,,2000s,British,Convertibles,16,Bear52 https://bringatrailer.com/member/bear52/,Private Party,,Beige,skimanwhite https://bringatrailer.com/member/skimanwhite/,34k,Miles,"Houston, Texas 77009",SAJDA42B043A39636,Sold,"$18,000",Friday,June,9,11:07pm,2023,26,https://bringatrailer.com/listing/2004-jaguar-xkr-convertible-2/,"6,190",805
1965 Ford Mustang Convertible 3-Speed,Y,1965,Ford,Ford Mustang 1964.5-1966,,1960s,American,Convertibles,32,alex_Interstate123 https://bringatrailer.com/member/alex_interstate123/,Dealer,Red,White,jwoodruff https://bringatrailer.com/member/jwoodruff/,44k,Miles,"Pennington, New Jersey 08534",5F08T703983,Sold,"$29,500",Friday,June,9,11:06pm,2023,23,https://bringatrailer.com/listing/1965-ford-mustang-convertible-166/,"6,096",671
23k-Mile 2013 Porsche Boxster S 6-Speed,Y,2013,Porsche,Porsche 981 Boxster,,2010s,German,Convertibles,43,DG_24 https://bringatrailer.com/member/dg_24/,Private Party,Gray,Black,ethanwagner75OK https://bringatrailer.com/member/ethanwagner75ok/,23k,Miles,"Town And Country, Missouri 63017",WP0CB2A80DK132337,Sold,"$55,500",Friday,June,9,11:06pm,2023,32,https://bringatrailer.com/listing/2013-porsche-boxster-s-15/,"9,137","1,090"
30k-Mile 2009 Porsche 911 Turbo Cabriolet 6-Speed,N,2009,Porsche,Porsche 997 Turbo,"997, 997 turbo",2000s,German,Convertibles,60,adamyad https://bringatrailer.com/member/adamyad/,Private Party,,Gray,puckfan https://bringatrailer.com/member/puckfan/,30k,Miles,"Kings Point, New York 11024",WP0CD29959S773384,Sold,"$100,000",Friday,June,9,10:46pm,2023,19,https://bringatrailer.com/listing/2009-porsche-911-turbo-cabriolet-46/,"8,018",962
23-Years-Family-Owned 1996 Chevrolet Corvette Convertible Collector Edition 6-Speed,Y,1996,Chevrolet,Chevrolet Corvette C4,,1990s,American,Convertibles,55,Oljim49 https://bringatrailer.com/member/oljim49/,Private Party,,,TWIN-LINE https://bringatrailer.com/member/twin-line/,Collector,Edition,"Washington Township, Ohio 45458",1G1YY3252T5106472,Sold,"$23,800",Friday,June,9,10:27pm,2023,27,https://bringatrailer.com/listing/1996-chevrolet-corvette-convertible-25/,"4,730",524
2003 Chevrolet Corvette Convertible,Y,2003,Chevrolet,Chevrolet Corvette C5,c5,2000s,American,Convertibles,15,JJModer https://bringatrailer.com/member/jjmoder/,Private Party,,Blue,kdcars https://bringatrailer.com/member/kdcars/,53k,Miles,"Village Of Palmetto Bay, Florida 33157",1G1YY32G935112769,Sold,"$19,500",Friday,June,9,10:25pm,2023,33,https://bringatrailer.com/listing/2003-chevrolet-corvette-convertible-19/,"5,749",618
1966 Sunbeam Tiger Mk 1A,N,1966,Sunbeam,Sunbeam Tiger,,1960s,British,Convertibles,70,compcar98 https://bringatrailer.com/member/compcar98/,Private Party,Red,Black,,24k,Miles,"Scottsdale, Arizona 85255",B382001168LRXFE,Not Sold,"$78,000",Friday,June,9,10:18pm,2023,18,https://bringatrailer.com/listing/1966-sunbeam-tiger-61/,"8,924",802
1982 Mercedes-Benz 380SL,Y,1982,Mercedes-Benz,Mercedes-Benz R107 SL,"r107, sl",1980s,German,Convertibles,14,choicedealsnc2017 https://bringatrailer.com/member/choicedealsnc2017/,Dealer,Ivory,Tan,Podgie https://bringatrailer.com/member/podgie/,150k,Miles,"Raleigh, North Carolina 27606",WDBBA45A9CB012718,Sold,"$12,373",Friday,June,9,10:01pm,2023,39,https://bringatrailer.com/listing/1982-mercedes-benz-380sl-65/,"3,989",375
1994 Mazda MX-5 Miata 5-Speed,Y,1994,Mazda,Mazda NA MX-5 Miata,"eunos, mx-5, mx5, na, na miata",1990s,Japanese,Convertibles,91,Jalabriwa https://bringatrailer.com/member/jalabriwa/,Private Party,,Black,Starcraft https://bringatrailer.com/member/starcraft/,50k,Miles,"Plymouth, Massachusetts 02360",JM1NA3530R0514791,Sold,"$9,400",Friday,June,9,9:51pm,2023,47,https://bringatrailer.com/listing/1994-mazda-mx-5-miata-96/,"8,864",784
1972 Buick Centurion Convertible,N,1972,,,,,,,,,,,,,,,,,,Friday,June,9,9:47pm,,17,https://bringatrailer.com/listing/1972-buick-centurion-2/,"6,276",540
54-Years-Owned 1957 Mercedes-Benz 220S Cabriolet Hydrak Project,N,1957,Mercedes-Benz,Mercedes-Benz Ponton,"220, ponton, w180",1950s,German,Convertibles,22,Bwhitaker https://bringatrailer.com/member/bwhitaker/,Private Party,,Red,Elicrest26 https://bringatrailer.com/member/elicrest26/,35k,Miles,"Santa Barbara, California 93111",180030Z7513004,Sold,"$40,250",Friday,June,9,9:38pm,2023,20,https://bringatrailer.com/listing/1957-mercedes-benz-220s-cabriolet-13/,"4,950",452
1987 Cadillac Allante,Y,1987,Cadillac,Cadillac Allanté,,1980s,American,Convertibles,73,FarmerPete https://bringatrailer.com/member/farmerpete/,Dealer,Silver,,NoMoreRoom https://bringatrailer.com/member/nomoreroom/,43k,Miles,"Elkton, Maryland 21921",1G6VR3174HU100148,Sold,"$8,100",Friday,June,9,9:20pm,2023,41,https://bringatrailer.com/listing/1987-cadillac-allante-12/,"5,292",514
2005 Toyota MR2 Spyder 5-Speed,N,2005,Toyota,Toyota W30 MR2,,2000s,Japanese,Convertibles,42,polartek https://bringatrailer.com/member/polartek/,Private Party,,Silver,,28k,Miles,"Parker, Colorado 80134",JTDFR320450072244,Not Sold,"$17,250",Friday,June,9,9:13pm,2023,9,https://bringatrailer.com/listing/2005-toyota-mr2-spyder/,"5,994",414
34k-Mile 2011 BMW 335i M Sport Convertible,N,2011,BMW,BMW E92/E93 3-Series Coupe & Convertible,,2010s,German,Convertibles,8,genevamotorcars https://bringatrailer.com/member/genevamotorcars/,Dealer,Blue,Black,Nuri https://bringatrailer.com/member/nuri/,34k,Miles,"Darien, Wisconsin 53114",WBADX7C55BE743639,Sold,"$20,750",Friday,June,9,9:07pm,2023,11,https://bringatrailer.com/listing/2011-bmw-335i-convertible-3/,"3,939",368
One-Owner 1962 Alfa Romeo Giulietta Spider,Y,1962,Alfa Romeo,Alfa Romeo 750/101 Series Giulietta & Giulia,,1960s,Italian,Convertibles,71,FantasyJunction https://bringatrailer.com/member/fantasyjunction/,Dealer,,,Rosefarm https://bringatrailer.com/member/rosefarm/,One,Owner,"Emeryville, California 94608",AR171277,Sold,"$66,500",Friday,June,9,8:42pm,2023,39,https://bringatrailer.com/listing/1962-alfa-romeo-giulietta-spider-12/,"10,906","1,124"
