Full Auction title,"Is it ""no reserve""",Year,Make,Model Family,Model identifier,Era,Origin,Category,Number of comments,Seller,Private party or dealer,Ext. Color Group,Int. Color Group,Buyer,Odometer,Miles of kilometers,Location,Chassis/VIN,Status,Value,Auction end day,Auction end month,Auction end day number,Auction end time,Auction end year,Number of bids,Auction URL,Number of views,Watchers
2022 Chevrolet Corvette Stingray C8.R Championship Edition Convertible,N,2022,Chevrolet,Chevrolet Corvette C8,,2020s,American,Convertibles,23,Kirb81 https://bringatrailer.com/member/kirb81/,Private Party,,,Supercoupe430 https://bringatrailer.com/member/supercoupe430/,"1,400",Miles,"Canfield, Ohio 44406",1G1YC3D41N5106632,Sold,"$114,000",Friday,June,9,8:31pm,2023,14,https://bringatrailer.com/listing/2022-chevrolet-corvette-stingray-convertible-19/,"5,842",632
1995 Porsche 911 Carrera Cabriolet 6-Speed,N,1995,Porsche,Porsche 993 911 (Non-Turbo/GT2),993,1990s,German,Convertibles,28,ddisal https://bringatrailer.com/member/ddisal/,Private Party,Black,Tan,BOJIBI https://bringatrailer.com/member/bojibi/,95k,Miles,"White Plains, New York 10607",WP0CA2997SS343239,Sold,"$50,000",Friday,June,9,8:10pm,2023,34,https://bringatrailer.com/listing/1995-porsche-911-carrera-cabriolet-102/,"7,607",841
2001 Qvale Mangusta,N,2001,,,,,,,,,,,,,,,,,,Friday,June,9,8:02pm,,14,https://bringatrailer.com/listing/2001-qvale-mangusta-12/,"7,208",373
1955 MG TF 1500 Project,Y,1955 1500,MG,MG TF,,1950s,British,Convertibles,35,MichaelsMotorCarsPA https://bringatrailer.com/member/michaelsmotorcarspa/,Dealer,,,54willys https://bringatrailer.com/member/54willys/,Engine,Number:,"West Lancaster, Pennsylvania 17603",TF8059,Sold,"$15,500",Friday,June,9,7:55pm,2023,30,https://bringatrailer.com/listing/1955-mg-tf-1500-36/,"8,476",774
1970 Jaguar XKE Series II Roadster,N,1970,Jaguar,Jaguar XKE Series II,"e type, e-type",1970s,British,Convertibles,23,PatricksClassics https://bringatrailer.com/member/patricksclassics/,Private Party,,Red,,93k,Miles,"Stockton, California 95202",1R12892,Not Sold,"$33,000",Friday,June,9,7:53pm,2023,15,https://bringatrailer.com/listing/1970-jaguar-xke-roadster-61/,"8,557",913
1956 Mercury Montclair Convertible,N,1956,,,mercury,,,,,,,,Gks2610 https://bringatrailer.com/member/gks2610/,,,,,,,Friday,June,9,7:34pm,,46,https://bringatrailer.com/listing/1956-mercury-montclair-6/,"8,552",663
Supercharged 350-Powered Ford-Style Roadster Hot Rod,Y,,Ford,Ford Hot Rod,,1930s,American,Convertibles,45,MohrImports https://bringatrailer.com/member/mohrimports/,Dealer,,,SDCustPerf https://bringatrailer.com/member/sdcustperf/,39k,Miles,"Monterey, California 93940",18281811,Sold,"$33,500",Friday,June,9,7:20pm,2023,26,https://bringatrailer.com/listing/1932-ford-roadster-148/,"11,613",890
44k-Mile 2000 BMW M Roadster,N,2000,BMW,BMW Z3 M Roadster,z3m,2000s,German,Convertibles,32,z3to993 https://bringatrailer.com/member/z3to993/,Private Party,,,TheCoak https://bringatrailer.com/member/thecoak/,44k,Miles,"Boca Raton, Florida 33433",WBSCK9342YLC92959,Sold,"$25,750",Friday,June,9,12:43am,2023,22,https://bringatrailer.com/listing/2000-bmw-m-roadster-161/,"5,809",684
1964 Chevrolet Corvette Convertible 4-Speed,N,1964,Chevrolet,Chevrolet Corvette C2,c2,1960s,American,Convertibles,35,JamesMurf https://bringatrailer.com/member/jamesmurf/,Private Party,Blue,Blue,,57k,Miles,"Murphys, California 95247",40867S107901,Not Sold,"$49,000",Friday,June,9,12:38am,2023,28,https://bringatrailer.com/listing/1964-chevrolet-corvette-141/,"9,153","1,179"
1949 Willys Jeepster,N,1949,Willys,Willys Jeepster,,1940s,American,Convertibles,11,300llc https://bringatrailer.com/member/300llc/,Dealer,Blue,Gray,,4k,Miles,"Corpus Christi, Texas 78401",85891,Not Sold,"$22,250",Friday,June,9,12:23am,2023,21,https://bringatrailer.com/listing/1949-willys-jeepster-35/,"4,566",477
18k-Mile 2004 Honda S2000,N,2004,Honda,Honda S2000,ap2,2000s,Japanese,Convertibles,66,911r https://bringatrailer.com/member/911r/,Dealer,,Blue,Dtmdave https://bringatrailer.com/member/dtmdave/,18k,Miles,"Portland, Oregon 97227",JHMAP21434T001630,Sold,"$36,000",Friday,June,9,12:12am,2023,26,https://bringatrailer.com/listing/2004-honda-s2000-146/,"7,352",789
35k-Mile 2003 Porsche Boxster S 6-Speed,N,2003,Porsche,Porsche 986 Boxster,986,2000s,German,Convertibles,51,mcqueens https://bringatrailer.com/member/mcqueens/,Dealer,Black,Gray,sdagger https://bringatrailer.com/member/sdagger/,35k,Miles,"Lewes Beach, Delaware 19958",WP0CB29843U662429,Sold,"$21,500",Friday,June,9,12:08am,2023,39,https://bringatrailer.com/listing/2003-porsche-boxster-s-58/,"5,674",704
1987 Mercedes-Benz 560SL,N,1987,Mercedes-Benz,Mercedes-Benz R107 SL,"r107, sl",1980s,German,Convertibles,27,autocrzy https://bringatrailer.com/member/autocrzy/,Dealer,,Black,PHW77 https://bringatrailer.com/member/phw77/,44k,Miles,"Westport, Massachusetts 02790",WDBBA48DXHA071280,Sold,"$30,500",Friday,June,9,12:06am,2023,24,https://bringatrailer.com/listing/1987-mercedes-benz-560sl-383/,"3,439",422
38k-Mile 2000 Porsche 911 Carrera Cabriolet 6-Speed,N,2000,Porsche,Porsche 996 911 (Non-Turbo/GT2/GT3),,2000s,German,Convertibles,24,a736713 https://bringatrailer.com/member/a736713/,Private Party,Blue,Gray,dmattes02 https://bringatrailer.com/member/dmattes02/,38k,Miles,"Village Of Golf, Florida 33436",WP0CA2994YS653812,Sold,"$23,000",Friday,June,9,12:02am,2023,7,https://bringatrailer.com/listing/2000-porsche-911-carrera-cabriolet-14/,"4,393",508
2006 BMW M3 Convertible 6-Speed,Y,2006,BMW,BMW E46 M3,"3 series, 3-series, e46, e46 m3",2000s,German,Convertibles,38,JoeGogo https://bringatrailer.com/member/joegogo/,Private Party,Black,,KB7051sml https://bringatrailer.com/member/kb7051sml/,83k,Miles,"New Market, Maryland 21774",WBSBR93436PK11042,Sold,"$32,255",Thursday,June,8,11:57pm,2023,23,https://bringatrailer.com/listing/2006-bmw-m3-convertible-91/,"7,031",728
