Full Auction title,"Is it ""no reserve""",Year,Make,Model Family,Model identifier,Era,Origin,Category,Number of comments,Seller,Private party or dealer,Ext. Color Group,Int. Color Group,Buyer,Odometer,Miles of kilometers,Location,Chassis/VIN,Status,Value,Auction end day,Auction end month,Auction end day number,Auction end time,Auction end year,Number of bids,Auction URL,Number of views,Watchers
One-Family-Owned 1996 Porsche 911 Carrera Cabriolet 6-Speed,N,1996,Porsche,Porsche 993 911 (Non-Turbo/GT2),993,1990s,German,Convertibles,79,MotorAffair https://bringatrailer.com/member/motoraffair/,Private Party,Yellow,Black,gbt3201 https://bringatrailer.com/member/gbt3201/,26k,Miles,"Poway, California 92064",WP0CA2998TS340772,Sold,"$99,000",Sunday,June,4,9:10pm,2023,43,https://bringatrailer.com/listing/26k-mile-1996-porsche-911-carrera-cabriolet-6-speed/,"8,482",828
2005 Honda S2000,N,2005,Honda,Honda S2000,ap2,2000s,Japanese,Convertibles,48,sbraga https://bringatrailer.com/member/sbraga/,Dealer,,White,nobrakes https://bringatrailer.com/member/nobrakes/,55k,Miles,"Norwood, Massachusetts 02062",JHMAP21495S005169,Sold,"$27,000",Sunday,June,4,8:52pm,2023,25,https://bringatrailer.com/listing/2005-honda-s2000-148/,"10,568",914
"2,300-Mile 2014 Bentley Continental GTC V8",N,2014,Bentley,Bentley Continental GT,,2010s,British,Convertibles,14,EBERNEY https://bringatrailer.com/member/eberney/,Dealer,,,Belmont https://bringatrailer.com/member/belmont/,"2,300",Miles,"Sullivans Island, South Carolina 29482",SCBGT3ZA1EC094675,Sold,"$115,000",Sunday,June,4,8:47pm,2023,21,https://bringatrailer.com/listing/2014-bentley-continental-gt-v8/,"7,307",702
32k-Mile 2007 Ford Mustang GT Convertible 5-Speed,Y,2007,Ford,Ford Mustang S197 2005-2014,,2000s,American,Convertibles,31,Sammisb2 https://bringatrailer.com/member/sammisb2/,Private Party,,Red,ClimateScience https://bringatrailer.com/member/climatescience/,32k,Miles,"Lake Murray, South Carolina 29036",1ZVFT85H775281089,Sold,"$17,000",Sunday,June,4,8:40pm,2023,28,https://bringatrailer.com/listing/no-reserve-32k-mile-2007-ford-mustang-gt-convertible-5-speed/,"4,974",480
1963 Lincoln Continental Convertible,N,1963,Lincoln,Lincoln Continental,,1960s,American,Convertibles,29,ACNEAL https://bringatrailer.com/member/acneal/,Private Party,Black,Red,JLane36 https://bringatrailer.com/member/jlane36/,"5,400",Miles,"West Palm Beach, Florida 33414",3Y86N421263,Sold,"$53,333",Sunday,June,4,8:35pm,2023,23,https://bringatrailer.com/listing/1963-lincoln-continental-31/,"14,616","1,113"
1967.5 Datsun 1600 Roadster,N,1967 1600,Datsun,Datsun Roadster,,1960s,Japanese,Convertibles,12,Gug_Ly https://bringatrailer.com/member/gug_ly/,Private Party,Gray,Black,Tacoma91156 https://bringatrailer.com/member/tacoma91156/,74k,Miles,"Oak Park, Illinois 60302",SPL31113932,Sold,"$18,750",Sunday,June,4,8:25pm,2023,33,https://bringatrailer.com/listing/1967-datsun-1600-roadster-34/,"7,492",686
27k-Mile 1995 Ferrari 348 Spider,N,1995,Ferrari,Ferrari 348,,1990s,Italian,Convertibles,37,Vahe1 https://bringatrailer.com/member/vahe1/,Private Party,,,gbt3201 https://bringatrailer.com/member/gbt3201/,27k,Miles,"Rolling Hills Estates, California 90275",ZFFRG43A5S0099529,Sold,"$80,500",Sunday,June,4,7:15pm,2023,41,https://bringatrailer.com/listing/1995-ferrari-348-3/,"8,150",805
30k-Mile 1999 Mercedes-Benz SL500,N,1999,Mercedes-Benz,Mercedes-Benz R129 SL,"r129, sl",1990s,German,Convertibles,17,Rmaxopenwheel116 https://bringatrailer.com/member/rmaxopenwheel116/,Private Party,Red,,christhompson https://bringatrailer.com/member/christhompson/,30k,Miles,"Nashville, Tennessee 37209",WDBFA68F8XF179994,Sold,"$25,000",Saturday,June,3,11:52pm,2023,30,https://bringatrailer.com/listing/1999-mercedes-benz-sl500-189/,"3,277",330
21k-Mile 2004 Ford Thunderbird,N,2004,Ford,Ford Thunderbird (2002-2005),,2000s,American,Convertibles,22,Kennith17 https://bringatrailer.com/member/kennith17/,Dealer,,Silver,samhoyt https://bringatrailer.com/member/samhoyt/,21k,Miles,"Hickory, North Carolina 28601",1FAHP60A34Y112167,Sold,"$20,500",Saturday,June,3,11:36pm,2023,20,https://bringatrailer.com/listing/21k-mile-2004-ford-thunderbird/,"3,277",371
2001 Audi TT Roadster 225 Quattro 6-Speed,Y,2001,Audi,Audi TT,,2000s,German,Convertibles,9,andyn1969mini https://bringatrailer.com/member/andyn1969mini/,Private Party,,Black,cidiel https://bringatrailer.com/member/cidiel/,72k,Miles,"Burnham, Pennsylvania 17009",TRUUT28N711017092,Sold,"$10,900",Saturday,June,3,11:11pm,2023,32,https://bringatrailer.com/listing/2001-audi-tt-roadster-4/,"4,048",449
