Full Auction title,"Is it ""no reserve""",Year,Make,Model Family,Model identifier,Era,Origin,Category,Number of comments,Seller,Private party or dealer,Ext. Color Group,Int. Color Group,Buyer,Odometer,Miles of kilometers,Location,Chassis/VIN,Status,Value,Auction end day,Auction end month,Auction end day number,Auction end time,Auction end year,Number of bids,Auction URL,Number of views,Watchers
Euro 1985 Mercedes-Benz 500SL,Y,1985,Mercedes-Benz,Mercedes-Benz R107 SL,"r107, sl",1980s,German,Convertibles,67,bhambroker https://bringatrailer.com/member/bhambroker/,Dealer,,Blue,Epr56 https://bringatrailer.com/member/epr56/,124k,Kilometers,"Birmingham, Alabama 35233",WDB1070461A017025,Sold,"$28,500",Tuesday,June,13,10:35pm,2023,53,https://bringatrailer.com/listing/1985-mercedes-benz-500sl-36/,"7,788",894
2004 Audi TT Roadster 225 Quattro 6-Speed,Y,2004,Audi,Audi TT,,2000s,German,Convertibles,39,deichenb https://bringatrailer.com/member/deichenb/,Private Party,,Gray,whisk3y_tango https://bringatrailer.com/member/whisk3y_tango/,81k,Miles,"Saint Petersburg, Florida 33704",TRUUT28NX41008603,Sold,"$9,750",Tuesday,June,13,10:18pm,2023,32,https://bringatrailer.com/listing/2004-audi-tt-roadster-4/,"5,165",504
5.0-Powered 1959 Austin-Healey 100-6 BN6 Roadster 5-Speed,N,1959,Austin-Healey,Austin-Healey 100-6,,1950s,British,Convertibles,54,Ginovt https://bringatrailer.com/member/ginovt/,Private Party,Red,Black,Roxybaby https://bringatrailer.com/member/roxybaby/,Ford,"""5.0","South Chittenden, Vermont 05701",BN6L3769,Sold,"$38,500",Tuesday,June,13,10:05pm,2023,41,https://bringatrailer.com/listing/1959-austin-healey-100-6-bn6-2-seat-roadster-15/,"9,153",927
1957 Ford Fairlane 500 Skyliner,N,1957,Ford,Ford Fairlane,,1950s,American,Convertibles,21,Bulletmotorsportsinc https://bringatrailer.com/member/bulletmotorsportsinc/,Dealer,Blue White,Blue White,Jambones https://bringatrailer.com/member/jambones/,98k,Miles,"Lauderhill, Florida 33312",C7UW156017,Sold,"$30,000",Tuesday,June,13,9:48pm,2023,22,https://bringatrailer.com/listing/1957-ford-skyliner-retractable-hardtop-10/,"4,564",458
1967 Ford Mustang Convertible 289,N,1967,Ford,Ford Mustang 1967-1968,,1960s,American,Convertibles,22,Jacoprint https://bringatrailer.com/member/jacoprint/,Private Party,Red,White,pflood https://bringatrailer.com/member/pflood/,78k,Miles,"Eads, Tennessee 38028",7T03C103039,Sold,"$40,000",Tuesday,June,13,9:20pm,2023,25,https://bringatrailer.com/listing/1967-ford-mustang-convertible-65/,"6,814",841
1961 Mercedes-Benz 190SL,N,1961,Mercedes-Benz,Mercedes-Benz 190SL,"r121, sl",1960s,German,Located in Canada,56,edward77 https://bringatrailer.com/member/edward77/,Private Party,Silver,Red,bubble https://bringatrailer.com/member/bubble/,74k,Miles,"Calgary, Alberta, Canada",1210401019207,Sold,"$75,190",Tuesday,June,13,9:17pm,2023,49,https://bringatrailer.com/listing/1961-mercedes-benz-190sl-49/,"7,946",970
39k-Mile 2005 Chrysler Crossfire Limited Roadster 6-Speed,Y,2005,Chrysler,Chrysler Crossfire,,2000s,American,Convertibles,13,Collectibleclassics https://bringatrailer.com/member/collectibleclassics/,Dealer,Red,Black,CWDavis https://bringatrailer.com/member/cwdavis/,39k,Miles,"Yellow House, Pennsylvania 19518",1C3AN65L65X048472,Sold,"$13,760",Tuesday,June,13,9:15pm,2023,6,https://bringatrailer.com/listing/2005-chrysler-crossfire-roadster-2/,"3,232",367
1967 Chevrolet Corvette Convertible L71 427/435 4-Speed,N,1967,Chevrolet,Chevrolet Corvette C2,c2,1960s,American,Convertibles,96,CorvetteMike https://bringatrailer.com/member/corvettemike/,Dealer,,Yellow,,33k,Miles,"Anaheim Hills, California 92807",194677S114072,Not Sold,"$198,000",Tuesday,June,13,9:11pm,2023,29,https://bringatrailer.com/listing/1967-chevrolet-corvette-convertible-121/,"18,634","1,338"
2006 Mercedes-Benz SL500,N,2006,Mercedes-Benz,Mercedes-Benz R230 SL,"r230, sl",2000s,German,Convertibles,15,thrgjrdrm https://bringatrailer.com/member/thrgjrdrm/,Private Party,Red,,,58k,Miles,"Sisquoc, California 93454",WDBSK75F86F116656,Not Sold,"$16,750",Tuesday,June,13,9:08pm,2023,13,https://bringatrailer.com/listing/2006-mercedes-benz-sl500-61/,"2,865",336
1968 Triumph TR5 PI,N,1968,Triumph,Triumph TR5 & TR250,,1970s,British,Convertibles,126,auprichard https://bringatrailer.com/member/auprichard/,Private Party,Red,Black,GMco https://bringatrailer.com/member/gmco/,56k,Kilometers,"Jackson, Michigan 49201",CP2408L0,Sold,"$61,000",Tuesday,June,13,9:06pm,2023,22,https://bringatrailer.com/listing/1968-triumph-tr6-220/,"19,908","1,023"
1988 Chevrolet Camaro IROC-Z Convertible,N,1988,Chevrolet,Chevrolet Camaro 3rd Generation 1982-1992,,1980s,American,Located in Canada,49,88Iroc https://bringatrailer.com/member/88iroc/,Private Party,,Red,,22k,Kilometers,"Coldbrook, Nova Scotia, Canada",1G1FP31F9JL181473,Not Sold,"$20,500",Tuesday,June,13,8:48pm,2023,31,https://bringatrailer.com/listing/1988-chevrolet-camaro-iroc-z-convertible-4/,"5,859",564
1962 Oldsmobile Starfire Convertible,N,1962,Oldsmobile,Oldsmobile Starfire,,1960s,American,Convertibles,59,dtledoux https://bringatrailer.com/member/dtledoux/,Private Party,Red,White,,6k,Miles,"Daly City, California 94017",626M12380,Not Sold,"$35,008",Tuesday,June,13,8:41pm,2023,14,https://bringatrailer.com/listing/1962-oldsmobile-starfire-convertible-4/,"5,442",558
