Full Auction title,"Is it ""no reserve""",Year,Make,Model Family,Model identifier,Era,Origin,Category,Number of comments,Seller,Private party or dealer,Ext. Color Group,Int. Color Group,Buyer,Odometer,Miles of kilometers,Location,Chassis/VIN,Status,Value,Auction end day,Auction end month,Auction end day number,Auction end time,Auction end year,Number of bids,Auction URL,Number of views,Watchers
1953 Packard Caribbean Convertible,N,1953,,,,,,,,,,,Packardfan https://bringatrailer.com/member/packardfan/,,,,,,,Thursday,June,8,9:03pm,,21,https://bringatrailer.com/listing/1953-packard-caribbean-convertible-4/,"7,302",563
1979 Alfa Romeo Spider Veloce,N,1979,Alfa Romeo,Alfa Romeo 105/115 Spider Series 2,,1970s,Italian,Convertibles,18,AlfaBase https://bringatrailer.com/member/alfabase/,Private Party,,,,51k,Miles,"Alexandria, Virginia 22312",AR115410008355,Not Sold,"$6,100",Thursday,June,8,8:30pm,2023,11,https://bringatrailer.com/listing/1979-alfa-romeo-spider-veloce-23/,"6,462",574
2007 Mercedes-Benz SL65 AMG,Y,2007,Mercedes-Benz,Mercedes-Benz AMG,"r230, sl",elMercedes-Benz R230 SL,0s,rman,126,Bad_Chadi https://bringatrailer.com/member/bad_chadi/,Dealer,Blue,Beige,hn11 https://bringatrailer.com/member/hn11/,54k,Miles,"North Royalton, Ohio 44133",WDBSK79FX7F133423,Sold,"$50,800",Thursday,June,8,12:48am,2023,41,https://bringatrailer.com/listing/2007-mercedes-benz-sl65-amg-26/,"9,776",898
1995 Ferrari F355 Spider 6-Speed,N,1995,Ferrari,Ferrari F355,355,1990s,Italian,Convertibles,59,janders82 https://bringatrailer.com/member/janders82/,Private Party,,,Coomba https://bringatrailer.com/member/coomba/,43k,Miles,"Cumming, Georgia 30041",ZFFPR48A0S0101598,Sold,"$80,000",Thursday,June,8,12:27am,2023,32,https://bringatrailer.com/listing/1995-ferrari-f355-spider-31/,"13,341","1,291"
1963 Sunbeam Alpine GT,N,1963,Sunbeam,Sunbeam Alpine,,1960s,British,Convertibles,27,bkbaz https://bringatrailer.com/member/bkbaz/,Private Party,Black,Black,,64k,Miles,"Scottsdale, Arizona 85255",B9202061,Not Sold,"$12,750",Thursday,June,8,12:12am,2023,13,https://bringatrailer.com/listing/1963-sunbeam-alpine-16/,"5,672",624
26k-Mile 2000 Chevrolet Corvette Convertible,Y,2000,Chevrolet,Chevrolet Corvette C5,c5,2000s,American,Convertibles,10,Collectibleclassics https://bringatrailer.com/member/collectibleclassics/,Dealer,,Red,lcoogan https://bringatrailer.com/member/lcoogan/,26k,Miles,"Yellow House, Pennsylvania 19518",1G1YY32G2Y5121823,Sold,"$21,957",Thursday,June,8,12:10am,2023,19,https://bringatrailer.com/listing/2000-chevrolet-corvette-convertible-12/,"3,883",523
14k-Mile 2001 Porsche Boxster S 6-Speed,N,2001,Porsche,Porsche 986 Boxster,986,2000s,German,Convertibles,27,BidRunner https://bringatrailer.com/member/bidrunner/,Dealer,Silver,Blue,svabat https://bringatrailer.com/member/svabat/,14k,Miles,"Watertown, New York 13601",WP0CB29881U664956,Sold,"$24,050",Thursday,June,8,12:08am,2023,38,https://bringatrailer.com/listing/2001-porsche-boxster-s-133/,"5,959",690
15k-Mile 2018 Porsche 911 Turbo S Cabriolet,N,2018,Porsche,Porsche 991 Turbo,,2010s,German,Convertibles,37,victoryeast https://bringatrailer.com/member/victoryeast/,Dealer,,Gray,,15k,Miles,"Venetian Islands, Florida 33139",WP0CD2A99JS162208,Not Sold,"$135,000",Wednesday,June,7,11:55pm,2023,21,https://bringatrailer.com/listing/2018-porsche-911-turbo-s-cabriolet-2/,"6,908",643
1986 Mercedes-Benz 560SL,N,1986,Mercedes-Benz,Mercedes-Benz R107 SL,"r107, sl",1980s,German,Convertibles,18,Austin1232 https://bringatrailer.com/member/austin1232/,Dealer,,Red,WeeJay https://bringatrailer.com/member/weejay/,43k,Miles,"Bloomingdale, New Jersey 07403",WDBBA48D1GA045780,Sold,"$25,000",Wednesday,June,7,11:54pm,2023,17,https://bringatrailer.com/listing/1986-mercedes-benz-560sl-244/,"4,669",529
2001 BMW 330Ci Convertible,N,2001,BMW,BMW E46 3-Series Convertible,,2000s,German,Convertibles,19,peter222 https://bringatrailer.com/member/peter222/,Private Party,Blue,Beige,HeyBartender https://bringatrailer.com/member/heybartender/,62k,Miles,"Shrewsbury, Massachusetts 01545",WBABS53441JU80633,Sold,"$11,250",Wednesday,June,7,11:53pm,2023,43,https://bringatrailer.com/listing/2001-bmw-330ci-convertible-57/,"4,269",473
