Full Auction title,Is Owned,Is it 'no reserve',Year,Make,Model Family,Model Identifier,Era,Origin,Category,Number Of Comments,Seller,Private Party Or Dealer,Ext. Color Group,Int. Color Group,Buyer,Odometer,Miles Of Kilometers,Location,Chassis/VIN,Status,Value,Auction End Day,Auction End Month,Auction End Day Number,Auction End Time,Number Of Bids,Auction URL,Number Of Views,Watchers,Color Description
1971 Datsun 510 Race Car,No,No,1971,Datsun,Datsun 510,"",1970s,Japanese,Race Cars,95,axlerod23 (https://bringatrailer.com/member/axlerod23/) ,Dealer,Yellow,,,Unknown,Unknown,"Greeley, Colorado 80634",PL510054976,Not Sold,"Bid to $24,510",Wednesday,September,21,1:49pm,15,https://bringatrailer.com/listing/1971-datsun-510-54/,"15,609",921,Yellow & White BRE-Style Livery
Turbocharged S38-Powered 1987 BMW 635CSi 5-Speed Track Car,No,No,1987,BMW,BMW E24 6-Series,6 series6-seriese24,1980s,German,Race Cars,54,emartinez88 (https://bringatrailer.com/member/emartinez88/) ,Private Party,Black,,JSLG (https://bringatrailer.com/member/jslg/) ,172k,Miles,"Starkville, Mississippi 39759",WBAEC8409H0614916,Sold,"$26,500",Tuesday,September,20,12:20pm,27,https://bringatrailer.com/listing/1987-bmw-635csi-41/,"12,311",464,Black Paintwork
302-Powered 1965 Ford Mustang Fastback 5-Speed Track Car,No,No,1965,Ford,Ford Mustang 1964.5-1966,"",1960s,American,Race Cars,84,Solarlind (https://bringatrailer.com/member/solarlind/) ,Private Party,Red,Black,,400,Miles,"Mystic, Connecticut 06355",5F09T312016,Not Sold,"Bid to $30,500",Tuesday,September,20,11:42am,22,https://bringatrailer.com/listing/1965-ford-mustang-fastback-158/,"14,387","1,061","Red Paintwork, Black Interior"
1929 Chrysler Baquet Special,No,No,1929,Chrysler,"","",1920s,American,"Prewar, Race Cars",55,rdebly (https://bringatrailer.com/member/rdebly/) ,Dealer,Red,,,136,Miles,"",RPA324286,Not Sold,"Bid to $45,750",Monday,September,19,4:00pm,39,https://bringatrailer.com/listing/1929-chrysler-baquet-special/,"10,087",705,"Red Paint, Tan Upholstery, Red Painted Wire Wheels"
1964 Ford Galaxie 500 Lightweight,No,No,1964,Ford,Ford Galaxie,"",1960s,American,Race Cars,78,longmacsales (https://bringatrailer.com/member/longmacsales/) ,Dealer,White,Red,,26,Miles,"Salina, Kansas 67401",4A66R133125,Not Sold,"Bid to $119,000",Monday,September,19,3:00pm,21,https://bringatrailer.com/listing/1964-ford-galaxie-500-54/,"24,677","1,408","White Paint, Red Upholstery"
2013 Ford Mustang Cobra Jet,No,No,2013,Ford,Ford Mustang S197 2005-2014,"",2010s,American,Race Cars,34,LauraDunn92 (https://bringatrailer.com/member/lauradunn92/) ,Private Party,Black,Black,wondabo (https://bringatrailer.com/member/wondabo/) ,,,"Bloomington, Indiana 47408",FR500CJ4047,Sold,"$56,500",Monday,September,19,2:15pm,13,https://bringatrailer.com/listing/2013-ford-cobra-jet-2/,"7,093",426,"Black Paint w/Cobra Jet Graphics, Black Interior w/Roll Cage"
1967 Lotus 41 Formula B,No,No,1967,Lotus,"","",1960s,British,Race Cars,77,donyount (https://bringatrailer.com/member/donyount/) ,Private Party,White,,,Unknown,Unknown,"Dallas, Texas 75240",41C20,Not Sold,"Bid to $54,000",Sunday,September,18,11:26am,19,https://bringatrailer.com/listing/1967-lotus-lotus-41-racecar/,"24,017","1,352",Blue Paint w/White Stripping
2004 Noble M12 GTO-3R,No,No,2004,Noble,"","",2000s,British,Race Cars,66,barten1 (https://bringatrailer.com/member/barten1/) ,Private Party,Blue,Black,LifeIsGood2 (https://bringatrailer.com/member/lifeisgood2/) ,"2,900",Miles,"Nashville, Tennessee 37221",NUS0027,Sold,"$61,000",Sunday,September,18,11:24am,43,https://bringatrailer.com/listing/2004-noble-m12-8/,"23,973","1,320","Blue Paint, Black & Gray Vinyl Upholstery"
1989 Shelby Can-Am Prototype,No,No,1989,Shelby,"","",1980s,American,Race Cars,55,RonShakespeare (https://bringatrailer.com/member/ronshakespeare/) ,Private Party,White,,,Unknown,Unknown,"Reno, Nevada 89508",X2,Not Sold,"Bid to $30,500",Friday,September,16,3:31pm,25,https://bringatrailer.com/listing/1989-shelby-can-am-prototype/,"13,855",690,"White/Blue Removable Fiberglass Body Panels, Black Vinyl Fixed Bucket Seat"
25-Years-Owned 1952 Mercury Monterey 5-Speed Race Car,Yes,No,1952,Mercury,Mercury Monterey,"",1950s,American,Race Cars,53,Mercury-Doug52 (https://bringatrailer.com/member/mercury-doug52/) ,Private Party,White,,DAN555 (https://bringatrailer.com/member/dan555/) ,650,Miles,"Casa Grande, Arizona 85122",52LA31020M,Sold,"$48,000",Friday,September,16,12:59pm,64,https://bringatrailer.com/listing/1952-mercury-monterey-2/,"9,633",563,White Paintwork
Kurtis-Style Midget Race Car,No,Yes,,Kurtis,"","",1940s,American,Race Cars,27,Gas_Monkey (https://bringatrailer.com/member/gas_monkey/) ,Dealer,Purple,Tan,DanC4 (https://bringatrailer.com/member/danc4/) ,Unknown,Unknown,"Dallas, Texas 75229",00A1833619,Sold,"$14,250",Wednesday,September,14,12:26pm,20,https://bringatrailer.com/listing/1947-kurtis-racer/,"15,025",595,"Metallic Purple Paint, Tan Vinyl Bucket Seat"
2000 Formula Mazda Race Car,No,No,2000,Mazda,"","",2000s,Japanese,Race Cars,61,TCG624 (https://bringatrailer.com/member/tcg624/) ,Private Party,Yellow,,19gt2rs (https://bringatrailer.com/member/19gt2rs/) ,Unknown,Unknown,"Santa Ynez, California 93460",00204,Sold,"$23,999",Tuesday,September,13,1:53pm,40,https://bringatrailer.com/listing/2000-mazda-star-formula-mazda/,"13,881",686,Blue & Yellow Bodywork
